epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,train_mae,valid_rmse,valid_mae
24,429.97265625,18.2,9.581154584884644,"tf.Tensor(0.3853446, shape=(), dtype=float32)","tf.Tensor(0.21795692, shape=(), dtype=float32)","tf.Tensor(0.42405123, shape=(), dtype=float32)","tf.Tensor(0.23743907, shape=(), dtype=float32)"
25,433.51953125,27.6,9.685240745544434,"tf.Tensor(0.38533887, shape=(), dtype=float32)","tf.Tensor(0.22106846, shape=(), dtype=float32)","tf.Tensor(0.42383787, shape=(), dtype=float32)","tf.Tensor(0.2405446, shape=(), dtype=float32)"
26,436.20703125,29.6,9.210156679153442,"tf.Tensor(0.38518697, shape=(), dtype=float32)","tf.Tensor(0.21665093, shape=(), dtype=float32)","tf.Tensor(0.4240351, shape=(), dtype=float32)","tf.Tensor(0.23621689, shape=(), dtype=float32)"
27,438.83203125,25.6,9.452198505401611,"tf.Tensor(0.3850576, shape=(), dtype=float32)","tf.Tensor(0.2182707, shape=(), dtype=float32)","tf.Tensor(0.42369378, shape=(), dtype=float32)","tf.Tensor(0.23766617, shape=(), dtype=float32)"
28,441.5078125,30.9,9.224520444869995,"tf.Tensor(0.3851152, shape=(), dtype=float32)","tf.Tensor(0.22099099, shape=(), dtype=float32)","tf.Tensor(0.42356923, shape=(), dtype=float32)","tf.Tensor(0.24030687, shape=(), dtype=float32)"
29,444.1953125,24.6,9.406243562698364,"tf.Tensor(0.38516784, shape=(), dtype=float32)","tf.Tensor(0.2222557, shape=(), dtype=float32)","tf.Tensor(0.423653, shape=(), dtype=float32)","tf.Tensor(0.24169993, shape=(), dtype=float32)"
30,446.8828125,28.4,9.41762638092041,"tf.Tensor(0.3849166, shape=(), dtype=float32)","tf.Tensor(0.2156122, shape=(), dtype=float32)","tf.Tensor(0.4241721, shape=(), dtype=float32)","tf.Tensor(0.23537827, shape=(), dtype=float32)"
31,449.51171875,21.9,9.304417371749878,"tf.Tensor(0.3847557, shape=(), dtype=float32)","tf.Tensor(0.21716554, shape=(), dtype=float32)","tf.Tensor(0.42393252, shape=(), dtype=float32)","tf.Tensor(0.2368743, shape=(), dtype=float32)"
32,452.30078125,22.4,9.375351905822754,"tf.Tensor(0.38470182, shape=(), dtype=float32)","tf.Tensor(0.21650906, shape=(), dtype=float32)","tf.Tensor(0.42399368, shape=(), dtype=float32)","tf.Tensor(0.23627833, shape=(), dtype=float32)"
33,454.98828125,21.3,10.222254276275635,"tf.Tensor(0.38464302, shape=(), dtype=float32)","tf.Tensor(0.21826434, shape=(), dtype=float32)","tf.Tensor(0.423586, shape=(), dtype=float32)","tf.Tensor(0.23785754, shape=(), dtype=float32)"
34,457.61328125,35.9,9.3854820728302,"tf.Tensor(0.3845469, shape=(), dtype=float32)","tf.Tensor(0.21841994, shape=(), dtype=float32)","tf.Tensor(0.4238617, shape=(), dtype=float32)","tf.Tensor(0.23819715, shape=(), dtype=float32)"
35,460.30859375,21.7,9.793495178222656,"tf.Tensor(0.3844814, shape=(), dtype=float32)","tf.Tensor(0.21851398, shape=(), dtype=float32)","tf.Tensor(0.4236956, shape=(), dtype=float32)","tf.Tensor(0.23837188, shape=(), dtype=float32)"
36,462.99609375,26.7,9.442939758300781,"tf.Tensor(0.38449377, shape=(), dtype=float32)","tf.Tensor(0.21576147, shape=(), dtype=float32)","tf.Tensor(0.42398772, shape=(), dtype=float32)","tf.Tensor(0.23567124, shape=(), dtype=float32)"
37,466.19140625,21.8,9.359445810317993,"tf.Tensor(0.38438895, shape=(), dtype=float32)","tf.Tensor(0.21679373, shape=(), dtype=float32)","tf.Tensor(0.42374986, shape=(), dtype=float32)","tf.Tensor(0.23663685, shape=(), dtype=float32)"
38,468.87890625,25.6,9.344171524047852,"tf.Tensor(0.3843364, shape=(), dtype=float32)","tf.Tensor(0.21927379, shape=(), dtype=float32)","tf.Tensor(0.423493, shape=(), dtype=float32)","tf.Tensor(0.23884596, shape=(), dtype=float32)"
39,471.50390625,24.5,9.448330402374268,"tf.Tensor(0.38426736, shape=(), dtype=float32)","tf.Tensor(0.21846607, shape=(), dtype=float32)","tf.Tensor(0.42371053, shape=(), dtype=float32)","tf.Tensor(0.23832223, shape=(), dtype=float32)"
40,474.19140625,23.5,9.368785381317139,"tf.Tensor(0.3842353, shape=(), dtype=float32)","tf.Tensor(0.21801025, shape=(), dtype=float32)","tf.Tensor(0.4235012, shape=(), dtype=float32)","tf.Tensor(0.2377458, shape=(), dtype=float32)"
41,476.87890625,20.1,9.407315015792847,"tf.Tensor(0.38428274, shape=(), dtype=float32)","tf.Tensor(0.21523091, shape=(), dtype=float32)","tf.Tensor(0.42398208, shape=(), dtype=float32)","tf.Tensor(0.2352035, shape=(), dtype=float32)"
42,479.5078125,19.9,9.441707611083984,"tf.Tensor(0.38413626, shape=(), dtype=float32)","tf.Tensor(0.21717344, shape=(), dtype=float32)","tf.Tensor(0.4237784, shape=(), dtype=float32)","tf.Tensor(0.23720714, shape=(), dtype=float32)"
43,482.16015625,22.5,9.37088131904602,"tf.Tensor(0.38406265, shape=(), dtype=float32)","tf.Tensor(0.21794882, shape=(), dtype=float32)","tf.Tensor(0.42361808, shape=(), dtype=float32)","tf.Tensor(0.23776056, shape=(), dtype=float32)"
44,484.84375,22.4,9.546059846878052,"tf.Tensor(0.38418496, shape=(), dtype=float32)","tf.Tensor(0.22086938, shape=(), dtype=float32)","tf.Tensor(0.42358553, shape=(), dtype=float32)","tf.Tensor(0.24066144, shape=(), dtype=float32)"
45,487.453125,38.2,9.530065774917603,"tf.Tensor(0.38397574, shape=(), dtype=float32)","tf.Tensor(0.2178187, shape=(), dtype=float32)","tf.Tensor(0.4235862, shape=(), dtype=float32)","tf.Tensor(0.23767923, shape=(), dtype=float32)"
46,490.4375,36.5,9.443212032318115,"tf.Tensor(0.38401234, shape=(), dtype=float32)","tf.Tensor(0.2153615, shape=(), dtype=float32)","tf.Tensor(0.42381528, shape=(), dtype=float32)","tf.Tensor(0.23528722, shape=(), dtype=float32)"
47,493.12109375,22.5,9.55769968032837,"tf.Tensor(0.38392034, shape=(), dtype=float32)","tf.Tensor(0.21676236, shape=(), dtype=float32)","tf.Tensor(0.4234601, shape=(), dtype=float32)","tf.Tensor(0.23664564, shape=(), dtype=float32)"
48,495.73046875,27.3,9.337396383285522,"tf.Tensor(0.38389647, shape=(), dtype=float32)","tf.Tensor(0.21875288, shape=(), dtype=float32)","tf.Tensor(0.42325124, shape=(), dtype=float32)","tf.Tensor(0.23843952, shape=(), dtype=float32)"
49,498.38671875,22.5,9.335834980010986,"tf.Tensor(0.3838869, shape=(), dtype=float32)","tf.Tensor(0.21929757, shape=(), dtype=float32)","tf.Tensor(0.42321464, shape=(), dtype=float32)","tf.Tensor(0.23904851, shape=(), dtype=float32)"
