epoch,train_rmse,valid_rmse
0,"tf.Tensor(0.91292965, shape=(), dtype=float32)","tf.Tensor(0.91914976, shape=(), dtype=float32)"
1,"tf.Tensor(0.8980099, shape=(), dtype=float32)","tf.Tensor(0.90661824, shape=(), dtype=float32)"
2,"tf.Tensor(0.89532125, shape=(), dtype=float32)","tf.Tensor(0.90430826, shape=(), dtype=float32)"
3,"tf.Tensor(0.8947324, shape=(), dtype=float32)","tf.Tensor(0.90427244, shape=(), dtype=float32)"
4,"tf.Tensor(0.89506036, shape=(), dtype=float32)","tf.Tensor(0.904251, shape=(), dtype=float32)"
5,"tf.Tensor(0.8943672, shape=(), dtype=float32)","tf.Tensor(0.9037697, shape=(), dtype=float32)"
6,"tf.Tensor(0.89400685, shape=(), dtype=float32)","tf.Tensor(0.90384054, shape=(), dtype=float32)"
7,"tf.Tensor(0.8941364, shape=(), dtype=float32)","tf.Tensor(0.90342975, shape=(), dtype=float32)"
8,"tf.Tensor(0.8938211, shape=(), dtype=float32)","tf.Tensor(0.903354, shape=(), dtype=float32)"
9,"tf.Tensor(0.8940992, shape=(), dtype=float32)","tf.Tensor(0.90368193, shape=(), dtype=float32)"
10,"tf.Tensor(0.89392203, shape=(), dtype=float32)","tf.Tensor(0.90327495, shape=(), dtype=float32)"
11,"tf.Tensor(0.89485407, shape=(), dtype=float32)","tf.Tensor(0.90459543, shape=(), dtype=float32)"
12,"tf.Tensor(0.8959975, shape=(), dtype=float32)","tf.Tensor(0.9055674, shape=(), dtype=float32)"
13,"tf.Tensor(0.8939702, shape=(), dtype=float32)","tf.Tensor(0.9034887, shape=(), dtype=float32)"
14,"tf.Tensor(0.8938633, shape=(), dtype=float32)","tf.Tensor(0.90352434, shape=(), dtype=float32)"
15,"tf.Tensor(0.8771119, shape=(), dtype=float32)","tf.Tensor(0.8913167, shape=(), dtype=float32)"
16,"tf.Tensor(0.866533, shape=(), dtype=float32)","tf.Tensor(0.8850818, shape=(), dtype=float32)"
17,"tf.Tensor(0.8546076, shape=(), dtype=float32)","tf.Tensor(0.8795239, shape=(), dtype=float32)"
18,"tf.Tensor(0.84735286, shape=(), dtype=float32)","tf.Tensor(0.8774656, shape=(), dtype=float32)"
19,"tf.Tensor(0.8311638, shape=(), dtype=float32)","tf.Tensor(0.8701788, shape=(), dtype=float32)"
20,"tf.Tensor(0.81980723, shape=(), dtype=float32)","tf.Tensor(0.86809033, shape=(), dtype=float32)"
21,"tf.Tensor(0.809027, shape=(), dtype=float32)","tf.Tensor(0.86899036, shape=(), dtype=float32)"
22,"tf.Tensor(0.7848498, shape=(), dtype=float32)","tf.Tensor(0.86565137, shape=(), dtype=float32)"
23,"tf.Tensor(0.7681046, shape=(), dtype=float32)","tf.Tensor(0.8659589, shape=(), dtype=float32)"
24,"tf.Tensor(0.75262547, shape=(), dtype=float32)","tf.Tensor(0.8697121, shape=(), dtype=float32)"
25,"tf.Tensor(0.73586506, shape=(), dtype=float32)","tf.Tensor(0.8740343, shape=(), dtype=float32)"
26,"tf.Tensor(0.72517955, shape=(), dtype=float32)","tf.Tensor(0.87889576, shape=(), dtype=float32)"
27,"tf.Tensor(0.7164571, shape=(), dtype=float32)","tf.Tensor(0.8845352, shape=(), dtype=float32)"
28,"tf.Tensor(0.70563084, shape=(), dtype=float32)","tf.Tensor(0.8872185, shape=(), dtype=float32)"
29,"tf.Tensor(0.6885322, shape=(), dtype=float32)","tf.Tensor(0.89567727, shape=(), dtype=float32)"
30,"tf.Tensor(0.67851317, shape=(), dtype=float32)","tf.Tensor(0.905697, shape=(), dtype=float32)"
31,"tf.Tensor(0.6680624, shape=(), dtype=float32)","tf.Tensor(0.9096678, shape=(), dtype=float32)"
32,"tf.Tensor(0.6565715, shape=(), dtype=float32)","tf.Tensor(0.9167529, shape=(), dtype=float32)"
33,"tf.Tensor(0.6461902, shape=(), dtype=float32)","tf.Tensor(0.92579913, shape=(), dtype=float32)"
34,"tf.Tensor(0.63596433, shape=(), dtype=float32)","tf.Tensor(0.9297814, shape=(), dtype=float32)"
35,"tf.Tensor(0.62503654, shape=(), dtype=float32)","tf.Tensor(0.9376399, shape=(), dtype=float32)"
