epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,train_mae,valid_rmse,valid_mae
24,985.33203125,25.7,40.55404019355774,"tf.Tensor(0.7552191, shape=(), dtype=float32)","tf.Tensor(0.59233975, shape=(), dtype=float32)","tf.Tensor(0.8660789, shape=(), dtype=float32)","tf.Tensor(0.674882, shape=(), dtype=float32)"
25,1008.92578125,24.8,40.55574321746826,"tf.Tensor(0.7444823, shape=(), dtype=float32)","tf.Tensor(0.5829428, shape=(), dtype=float32)","tf.Tensor(0.8699636, shape=(), dtype=float32)","tf.Tensor(0.6766544, shape=(), dtype=float32)"
26,1032.48828125,24.4,40.384286403656006,"tf.Tensor(0.7368354, shape=(), dtype=float32)","tf.Tensor(0.57943946, shape=(), dtype=float32)","tf.Tensor(0.8750787, shape=(), dtype=float32)","tf.Tensor(0.68265134, shape=(), dtype=float32)"
27,1056.52734375,24.7,40.41732692718506,"tf.Tensor(0.72956175, shape=(), dtype=float32)","tf.Tensor(0.57394403, shape=(), dtype=float32)","tf.Tensor(0.878209, shape=(), dtype=float32)","tf.Tensor(0.6846844, shape=(), dtype=float32)"
28,1079.8125,24.2,40.45871305465698,"tf.Tensor(0.7227936, shape=(), dtype=float32)","tf.Tensor(0.56817424, shape=(), dtype=float32)","tf.Tensor(0.88213044, shape=(), dtype=float32)","tf.Tensor(0.68671316, shape=(), dtype=float32)"
29,1105.3671875,23.6,40.55052423477173,"tf.Tensor(0.7141468, shape=(), dtype=float32)","tf.Tensor(0.5591484, shape=(), dtype=float32)","tf.Tensor(0.8843663, shape=(), dtype=float32)","tf.Tensor(0.6858142, shape=(), dtype=float32)"
30,1127.6875,24.2,40.66214299201965,"tf.Tensor(0.7066528, shape=(), dtype=float32)","tf.Tensor(0.5520794, shape=(), dtype=float32)","tf.Tensor(0.89006644, shape=(), dtype=float32)","tf.Tensor(0.6884291, shape=(), dtype=float32)"
31,1151.70703125,25.0,40.3866069316864,"tf.Tensor(0.69902605, shape=(), dtype=float32)","tf.Tensor(0.5506805, shape=(), dtype=float32)","tf.Tensor(0.89581335, shape=(), dtype=float32)","tf.Tensor(0.69700235, shape=(), dtype=float32)"
32,1176.3203125,23.5,40.940011978149414,"tf.Tensor(0.6857898, shape=(), dtype=float32)","tf.Tensor(0.53743935, shape=(), dtype=float32)","tf.Tensor(0.8998268, shape=(), dtype=float32)","tf.Tensor(0.6970559, shape=(), dtype=float32)"
33,1200.71875,25.9,44.68732786178589,"tf.Tensor(0.6806408, shape=(), dtype=float32)","tf.Tensor(0.5324331, shape=(), dtype=float32)","tf.Tensor(0.9034819, shape=(), dtype=float32)","tf.Tensor(0.69808865, shape=(), dtype=float32)"
