epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,rmse,time_sec,memory_mb,cpu_percent,recall@5,ndcg@5,recall@10,ndcg@10,recall@20,ndcg@20,recall@50,ndcg@50
0,0.00015427921958573323,0.00015427921958573323,1.7747786268783412,0.9529812746366377,249.9971513748169,1104.734375,12.5,0.05670038481553512,0.08222463930482866,0.07370752155068125,0.08574575367836172,0.15604497938175238,0.11220075165589248,0.1930426662644254,0.12422117066477427
1,0.00014825977282861803,0.00030253899241435125,1.686858514280736,0.9026803982832933,240.6025891304016,1107.12109375,12.5,0.06932757238544714,0.1049513440249711,0.09517969085521266,0.10636658444628967,0.12961881379497642,0.11602490748838798,0.21856284962753716,0.1452556915410618
2,0.0001456181585002632,0.0004481571509146145,1.6625651730976252,0.8860554284430441,236.19535732269287,1106.2578125,13.0,0.06317784726453457,0.09055195138382935,0.0970407029331178,0.10245825073784111,0.13996519634259733,0.11549364866995639,0.23846349492473692,0.14900478194121802
3,0.00014485963509965893,0.0005930167860142734,1.6464875715863736,0.8764209902438751,235.24746775627136,1108.19921875,27.3,0.054029162014456136,0.10103375947473453,0.09331600159386536,0.10353584056482816,0.14393981722694896,0.11331192323905605,0.22812141324117832,0.14438965663470138
4,0.00014963165972695897,0.0007426484457412324,1.6382668701725938,0.8733742352053461,243.26025772094727,1051.4609375,13.3,0.06076414924944336,0.08659147810380215,0.09776086331968685,0.09359625863178385,0.13629021785830933,0.10444730044039031,0.21336063606239622,0.13264604245206527
5,0.00014609503672216687,0.0008887434824633993,1.6312696541489549,0.8669258827118534,237.8823480606079,850.30078125,13.0,0.06897217118966344,0.11786482362858176,0.10141816827823019,0.11578278919565146,0.15334151024414183,0.1259694184494075,0.2501072613312168,0.1602807110571061
6,0.0001448174152277269,0.0010335608976911263,1.626748876890364,0.8632032503520801,236.65405917167664,762.28515625,12.5,0.053928733031674204,0.09821373879488894,0.09077053959112781,0.101377878772213,0.1400689377214253,0.10786934604087024,0.23808885020687418,0.14225437778954686
7,0.0001435950542088974,0.0011771559519000237,1.6271771731903744,0.8608757193716706,235.00229716300964,763.95703125,13.8,0.05567063938813164,0.09336446975775119,0.09287429892369053,0.09764144303501691,0.12590922698319162,0.10242716549114653,0.24339213533897028,0.1416422252899198
8,0.0001460476357115437,0.0013232035876115673,1.624628679917833,0.8485086118660009,239.1055932044983,750.35546875,16.7,0.05191231377841285,0.0965330100381902,0.09328367864588777,0.10484980197912991,0.1515450723162414,0.11869303857652272,0.22590116003213642,0.14544429773030593
9,0.00014427989382881173,0.001467483481440379,1.621273575527809,0.8449772119900592,236.55715584754944,737.28125,13.0,0.051009458463792824,0.0981395823648675,0.08317689420226122,0.09760003389543367,0.1488675461056174,0.11555871233076266,0.256812735611563,0.1503574435324175
10,0.00014382900257827952,0.0016113124840186584,1.6178970526913445,0.8391734532244226,235.7856240272522,714.078125,12.5,0.04621506821352022,0.08318659959029613,0.09088266783096505,0.09505029083872117,0.14832422880397175,0.10904904836719576,0.2557782563237996,0.14479537765877198
11,0.00014390894256364285,0.0017552214265823013,1.6153093616269854,0.835287145146396,235.77456879615784,714.71875,11.1,0.054785899575972484,0.11193201181486273,0.10599000894632653,0.11798642080847424,0.14996281185720994,0.12185535244338651,0.24950348863002658,0.1566021592149155
12,0.00014411261360512705,0.0018993340401874284,1.6123366601056488,0.8265204006190187,236.28633737564087,710.765625,13.3,0.0629866853493389,0.12326386245094284,0.09177505256710869,0.12139360066240658,0.15135272171102257,0.13116946363404666,0.2625291341841351,0.1694091211651313
13,0.00017170516992946096,0.0020710392101168894,1.6051609975819723,0.8201151740981601,280.59473967552185,706.515625,17.4,0.0703851414523349,0.12718919315419644,0.10346167396694791,0.11830309378236907,0.15162414435772653,0.12639087840319405,0.22929129352429395,0.15384429701165608
14,0.00014741768989073149,0.0022184569000076207,1.6037041405479215,0.8210522806723097,242.4245035648346,578.47265625,20.0,0.052872022234675776,0.10524907322520477,0.10720001005632765,0.11335730153324797,0.1512098668955871,0.11889386858894717,0.26975550718034397,0.1596079415337533
